question,answer_en,answer_hi,answer_mr
Science as a career,"Science offers many career options such as engineering, medical and research roles. It is the most favourite career option for parents and students.Physics, Chemistry, Maths, Biology are the main subjects in the Science stream.","विज्ञान कई करियर विकल्प प्रदान करता है जैसे इंजीनियरिंग, चिकित्सा और अनुसंधान भूमिकाएँ। यह माता-पिता और छात्रों के लिए सबसे पसंदीदा करियर विकल्प है। साइंस स्ट्रीम में फिजिक्स, केमिस्ट्री, मैथ्स, बायोलॉजी मुख्य विषय हैं।","विज्ञान अभियांत्रिकी, वैद्यकीय आणि संशोधन भूमिका यासारखे अनेक करिअर पर्याय देते. पालक आणि विद्यार्थ्यांसाठी हा सर्वात आवडता करिअर पर्याय आहे. विज्ञान शाखेत भौतिकशास्त्र, रसायनशास्त्र, गणित, जीवशास्त्र हे मुख्य विषय आहेत."
How is commerce as a career? ,"Commerce is the second most popular career option after science. Commerce is best for Business. If you are fascinated by numbers, finances, and economics then commerce is for you.
It offers a wider variety of carrier options such as Chartered Accountant, MBA, investment in banking sectors. You must be familiar with Accountancy, Finances, and Economics.","विज्ञान के बाद कॉमर्स दूसरा सबसे लोकप्रिय करियर विकल्प है। व्यापार के लिए वाणिज्य सर्वोत्तम है। यदि आप संख्या, वित्त और अर्थशास्त्र से मोहित हैं तो वाणिज्य आपके लिए है।
यह चार्टर्ड अकाउंटेंट, एमबीए, बैंकिंग क्षेत्रों में निवेश जैसे कैरियर विकल्पों की एक विस्तृत विविधता प्रदान करता है। आपको एकाउंटेंसी, वित्त और अर्थशास्त्र से परिचित होना चाहिए।","विज्ञानानंतर वाणिज्य हा दुसरा सर्वात लोकप्रिय करिअर पर्याय आहे. व्यवसायासाठी वाणिज्य सर्वोत्तम आहे. जर तुम्हाला संख्या, वित्त आणि अर्थशास्त्राबद्दल आकर्षण असेल तर वाणिज्य तुमच्यासाठी आहे.
हे चार्टर्ड अकाउंटंट, एमबीए, बँकिंग क्षेत्रातील गुंतवणूक यांसारखे विविध प्रकारचे कॅरियर पर्याय देते. तुम्हाला अकाउंटन्सी, फायनान्स आणि इकॉनॉमिक्सची माहिती असणे आवश्यक आहे."
How is arts or humanities as a career?,"Arts/ Humanities are of those who are interested in academic research. If you are creative and want to dive deep into Humanity, then arts is the stream for you. History, Political Science, Geography are the core subjects for Arts Students.","कला/मानविकी उनमें से हैं जो अकादमिक शोध में रुचि रखते हैं। यदि आप रचनात्मक हैं और मानवता की गहराई में उतरना चाहते हैं, तो कला आपके लिए धारा है। कला के छात्रों के लिए इतिहास, राजनीति विज्ञान, भूगोल मुख्य विषय हैं।","ज्यांना शैक्षणिक संशोधनात रस आहे अशा कला/मानवशास्त्र आहेत. जर तुम्ही सर्जनशील असाल आणि तुम्हाला मानवतेमध्ये खोलवर जायचे असेल, तर कला हा तुमच्यासाठी प्रवाह आहे. कला शाखेच्या विद्यार्थ्यांसाठी इतिहास, राज्यशास्त्र, भूगोल हे मुख्य विषय आहेत."
What is ITI?,They are training centers that provide courses to students seeking easy employment just after completing school. ITI courses are great opportunities for students who wish to complete any technical course within a short period.,वे प्रशिक्षण केंद्र हैं जो स्कूल पूरा करने के बाद आसान रोजगार चाहने वाले छात्रों को पाठ्यक्रम प्रदान करते हैं। आईटीआई पाठ्यक्रम उन छात्रों के लिए बेहतरीन अवसर हैं जो किसी भी तकनीकी पाठ्यक्रम को कम समय में पूरा करना चाहते हैं।,ही प्रशिक्षण केंद्रे आहेत जी शालेय शिक्षण पूर्ण केल्यानंतर सहज रोजगार शोधणाऱ्या विद्यार्थ्यांना अभ्यासक्रम उपलब्ध करून देतात. आयटीआय अभ्यासक्रम हा कमी कालावधीत कोणताही तांत्रिक अभ्यासक्रम पूर्ण करू इच्छिणाऱ्या विद्यार्थ्यांसाठी उत्तम संधी आहे.
What are polytechnic courses? ,"After class 10th, students can go for polytechnic courses like Mechanical, Civil, Chemical, Computer, Automobile. These colleges offer diploma courses for 3 years, 2 years and 1 year. Cost-effectiveness, jobs within a short time duration are the advantages of diploma courses after 10th.","10वीं के बाद छात्र मैकेनिकल, सिविल, केमिकल, कंप्यूटर, ऑटोमोबाइल जैसे पॉलिटेक्निक कोर्स में जा सकते हैं। ये कॉलेज 3 साल, 2 साल और 1 साल के डिप्लोमा कोर्स कराते हैं। 10वीं के बाद कम समय में कम लागत वाली नौकरी, डिप्लोमा कोर्स के फायदे हैं।","दहावीनंतर विद्यार्थी मेकॅनिकल, सिव्हिल, केमिकल, कॉम्प्युटर, ऑटोमोबाईल या पॉलिटेक्निक अभ्यासक्रमांसाठी जाऊ शकतात. ही महाविद्यालये 3 वर्षे, 2 वर्षे आणि 1 वर्षासाठी पदविका अभ्यासक्रम चालवतात. खर्च-प्रभावीता, कमी कालावधीत नोकरी हे १०वी नंतर डिप्लोमा कोर्सचे फायदे आहेत."
How to get an MBBS degree?,"After clearing your 12th in Physics, Chemistry and Biology (PCB), you can become a part of the healthcare industry. This field not just suits your subjects but also makes a good career option after class 12th. You can prepare for medical entrance exams to get admission to a top medical college to pursue your MBBS degree. There are various entrance exams for admission to MBBS/BDS courses like NEET, AIIMS, JIPMER which candidates can take to get admission to the college of their choice. After obtaining the MBBS degree, you can either go for an MD to specialize in your area of interest or choose to practice medicine.","फिजिक्स, केमिस्ट्री और बायोलॉजी (पीसीबी) में 12वीं पास करने के बाद आप हेल्थकेयर इंडस्ट्री का हिस्सा बन सकते हैं। यह क्षेत्र न केवल आपके विषयों के अनुकूल है बल्कि 12वीं कक्षा के बाद एक अच्छा करियर विकल्प भी बनाता है। आप अपनी एमबीबीएस की डिग्री हासिल करने के लिए किसी शीर्ष मेडिकल कॉलेज में प्रवेश पाने के लिए मेडिकल प्रवेश परीक्षा की तैयारी कर सकते हैं। एनईईटी, एम्स, जेआईपीएमईआर जैसे एमबीबीएस/बीडीएस पाठ्यक्रमों में प्रवेश के लिए विभिन्न प्रवेश परीक्षाएं हैं, जो उम्मीदवार अपनी पसंद के कॉलेज में प्रवेश पाने के लिए ले सकते हैं। एमबीबीएस की डिग्री प्राप्त करने के बाद, आप या तो अपनी रुचि के क्षेत्र में विशेषज्ञता के लिए एमडी के लिए जा सकते हैं या चिकित्सा का अभ्यास करना चुन सकते हैं।","भौतिकशास्त्र, रसायनशास्त्र आणि जीवशास्त्र (PCB) मध्ये तुमची 12वी उत्तीर्ण केल्यानंतर, तुम्ही आरोग्य सेवा उद्योगाचा एक भाग बनू शकता. हे क्षेत्र केवळ तुमच्या विषयांसाठीच नाही तर बारावीनंतर करिअरचा एक चांगला पर्याय बनवते. तुमची एमबीबीएस पदवी मिळवण्यासाठी तुम्ही उच्च वैद्यकीय महाविद्यालयात प्रवेश मिळवण्यासाठी वैद्यकीय प्रवेश परीक्षेची तयारी करू शकता. NEET, AIIMS, JIPMER यांसारख्या MBBS/BDS अभ्यासक्रमांच्या प्रवेशासाठी विविध प्रवेश परीक्षा आहेत ज्या उमेदवारांना त्यांच्या आवडीच्या महाविद्यालयात प्रवेश मिळण्यासाठी देऊ शकतात. एमबीबीएस पदवी प्राप्त केल्यानंतर, तुम्ही एकतर तुमच्या आवडीच्या क्षेत्रात तज्ञ होण्यासाठी एमडीसाठी जाऊ शकता किंवा औषधाचा सराव निवडू शकता."
How to become a pharmacist?,"A course in Pharmacy deals with teaching students how to dispense and prepare medicines. The course also makes the student aware of drug-related information. The students of this course will be able to give advice on health care programmes as they will be more aware of the prescriptions given by doctors. They will also be able to evaluate drugs and drug use patterns. To become a pharmacist, you will have to pursue a 4-year B.Pharma programme. Many colleges/institutes conduct entrance exams for entry into this course.",फ़ार्मेसी में एक कोर्स छात्रों को दवाएँ बांटने और तैयार करने का तरीका सिखाने से संबंधित है। पाठ्यक्रम छात्र को नशीली दवाओं से संबंधित जानकारी से भी अवगत कराता है। इस कोर्स के छात्र स्वास्थ्य देखभाल कार्यक्रमों पर सलाह दे सकेंगे क्योंकि उन्हें डॉक्टरों द्वारा दिए गए नुस्खे के बारे में अधिक जानकारी होगी। वे दवाओं और नशीली दवाओं के उपयोग के पैटर्न का मूल्यांकन करने में भी सक्षम होंगे। फार्मासिस्ट बनने के लिए आपको 4 साल का बी.फार्मा प्रोग्राम करना होगा। कई कॉलेज/संस्थान इस कोर्स में प्रवेश के लिए प्रवेश परीक्षा आयोजित करते हैं।,फार्मसीमधील एक कोर्स विद्यार्थ्यांना औषधे कशी द्यावी आणि कशी तयार करावी हे शिकवण्याशी संबंधित आहे. या अभ्यासक्रमामुळे विद्यार्थ्याला ड्रग्जशी संबंधित माहितीची जाणीवही होते. या कोर्सचे विद्यार्थी हेल्थकेअर प्रोग्राम्सबद्दल सल्ला देऊ शकतील कारण ते डॉक्टरांनी दिलेल्या प्रिस्क्रिप्शनबद्दल अधिक जागरूक असतील. ते औषधे आणि मादक पदार्थांच्या वापराच्या पद्धतींचे मूल्यांकन करण्यास देखील सक्षम असतील. फार्मासिस्ट होण्यासाठी तुम्हाला ४ वर्षांचा बी.फार्मा प्रोग्राम करावा लागेल. अनेक महाविद्यालये/संस्था या अभ्यासक्रमाच्या प्रवेशासाठी प्रवेश परीक्षा घेतात.
How to become an architechture?,"The demand for career options after 12th as an Architecture is on the rise. Architects are licensed professionals who design and plan structures that are attractive, functional and safe. They can be involved in every phase of a building's development from conception to construction. To become an architect, one can pursue a Bachelor of Architecture (B.Arch.) program, which typically takes five years to complete after class 12th. Aspiring architects who have already earned a bachelor's degree in another field, like architectural history or construction management, can apply to a Master of Architecture (M.Arch.) program. These advanced programs are also open to applicants who have professional B.Arch. degrees and want to specialize in historic preservation, design theory, solar design, or another related field.","आर्किटेक्चर के रूप में 12वीं के बाद करियर विकल्पों की मांग बढ़ रही है। आर्किटेक्ट लाइसेंस प्राप्त पेशेवर होते हैं जो आकर्षक, कार्यात्मक और सुरक्षित संरचनाओं की डिजाइन और योजना बनाते हैं। वे गर्भाधान से लेकर निर्माण तक किसी भवन के विकास के हर चरण में शामिल हो सकते हैं। एक आर्किटेक्ट बनने के लिए, कोई बैचलर ऑफ आर्किटेक्चर (बी.आर्क।) प्रोग्राम कर सकता है, जिसे आम तौर पर 12 वीं कक्षा के बाद पूरा करने में पांच साल लगते हैं। आकांक्षी आर्किटेक्ट जिन्होंने पहले से ही आर्किटेक्चर इतिहास या निर्माण प्रबंधन जैसे किसी अन्य क्षेत्र में स्नातक की डिग्री अर्जित की है, मास्टर ऑफ आर्किटेक्चर (एम.आर्क) कार्यक्रम में आवेदन कर सकते हैं। ये उन्नत कार्यक्रम उन आवेदकों के लिए भी खुले हैं जिनके पास पेशेवर बी.आर्क है। डिग्री और ऐतिहासिक संरक्षण, डिजाइन सिद्धांत, सौर डिजाइन, या किसी अन्य संबंधित क्षेत्र में विशेषज्ञता हासिल करना चाहते हैं।","12वी नंतर आर्किटेक्चर म्हणून करिअरच्या पर्यायांची मागणी वाढत आहे. वास्तुविशारद हे परवानाधारक व्यावसायिक आहेत जे आकर्षक, कार्यक्षम आणि सुरक्षित अशा संरचनांची रचना आणि योजना करतात. ते इमारतीच्या विकासाच्या प्रत्येक टप्प्यात संकल्पनेपासून बांधकामापर्यंत सामील होऊ शकतात. वास्तुविशारद होण्यासाठी, कोणीही बॅचलर ऑफ आर्किटेक्चर (B.Arch.) प्रोग्राम करू शकतो, ज्याला साधारणत: बारावीनंतर पूर्ण होण्यासाठी पाच वर्षे लागतात. आर्किटेक्चरल हिस्ट्री किंवा कन्स्ट्रक्शन मॅनेजमेंट यांसारख्या इतर क्षेत्रात आधीच बॅचलर डिग्री मिळवलेले इच्छुक वास्तुविशारद, मास्टर ऑफ आर्किटेक्चर (M.Arch.) प्रोग्रामसाठी अर्ज करू शकतात. हे प्रगत कार्यक्रम व्यावसायिक B.Arch असलेल्या अर्जदारांसाठी देखील खुले आहेत. पदवी आणि ऐतिहासिक जतन, डिझाइन सिद्धांत, सौर डिझाइन किंवा इतर संबंधित क्षेत्रात विशेषज्ञ बनू इच्छितो."
Career Options after 12th Science,"Medicine and Engineering are the two most popular and sought-after careers after completing courses after 12th in Science but there are other thriving careers too. Students with interest in Biology can opt for MBBS, BDS, Optometrist, Pharmacist, Forensic Science, Microbiology and many more. Those with Physics, Chemistry and Mathematics (PCM) can opt from B.Tech, B.E, B.Arch, Aeronautics etc.","विज्ञान में 12 वीं के बाद पाठ्यक्रम पूरा करने के बाद मेडिसिन और इंजीनियरिंग दो सबसे लोकप्रिय और मांग वाले करियर हैं, लेकिन अन्य संपन्न करियर भी हैं। जीव विज्ञान में रुचि रखने वाले छात्र एमबीबीएस, बीडीएस, ऑप्टोमेट्रिस्ट, फार्मासिस्ट, फोरेंसिक साइंस, माइक्रोबायोलॉजी और बहुत कुछ चुन सकते हैं। भौतिकी, रसायन विज्ञान और गणित (पीसीएम) वाले लोग बी.टेक, बी.ई, बी.आर्क, एरोनॉटिक्स आदि से विकल्प चुन सकते हैं।","विज्ञान विषयात बारावीनंतर अभ्यासक्रम पूर्ण केल्यानंतर औषध आणि अभियांत्रिकी हे दोन सर्वात लोकप्रिय आणि शोधले जाणारे करिअर आहेत परंतु इतरही भरभराटीचे करिअर आहेत. जीवशास्त्रात स्वारस्य असलेले विद्यार्थी एमबीबीएस, बीडीएस, ऑप्टोमेट्रिस्ट, फार्मासिस्ट, फॉरेन्सिक सायन्स, मायक्रोबायोलॉजी आणि बरेच काही निवडू शकतात. भौतिकशास्त्र, रसायनशास्त्र आणि गणित (पीसीएम) असलेले बीटेक, बीई, बीआर्क, एरोनॉटिक्स इत्यादीमधून निवड करू शकतात."
What courses can I opt for after 12th commerce?,"Chartered Accountant (CA), Company Secretary (CS), Cost and Management Accountant (CMA) are a few professional courses after 12th commerce one can choose after completing 12th in Commerce. Some regular courses include Bachelors in Business Administration (BBA), Bachelors in Economics, Bachelors in Commerce (B.Com).","चार्टर्ड अकाउंटेंट (CA), कंपनी सेक्रेटरी (CS), कॉस्ट एंड मैनेजमेंट अकाउंटेंट (CMA) कुछ ऐसे प्रोफेशनल कोर्स हैं, जिन्हें 12वीं कॉमर्स के बाद कॉमर्स में 12वीं पूरी करने के बाद चुना जा सकता है। कुछ नियमित पाठ्यक्रमों में व्यवसाय प्रशासन में स्नातक (बीबीए), अर्थशास्त्र में स्नातक, वाणिज्य में स्नातक (बी.कॉम) शामिल हैं।","चार्टर्ड अकाउंटंट (CA), कंपनी सेक्रेटरी (CS), कॉस्ट अँड मॅनेजमेंट अकाउंटंट (CMA) हे 12वी कॉमर्स नंतरचे काही व्यावसायिक कोर्स आहेत जे कॉमर्समध्ये 12वी पूर्ण केल्यानंतर निवडू शकतात. काही नियमित अभ्यासक्रमांमध्ये बॅचलर इन बिझनेस अॅडमिनिस्ट्रेशन (BBA), बॅचलर इन इकॉनॉमिक्स, बॅचलर इन कॉमर्स (B.Com) यांचा समावेश होतो."
